"store_name","total_bottles_sold"
"wal-mart 5748 / grimes","152943"
"wal-mart 1241 / davenport","150795"
"smokin' joe's #4 tobacco and liquor outlet","149721"
"wal-mart 1721 / iowa city","148307"
"hy-vee food store / sheldon","148233"
"mega saver","147808"
"hy-vee wine and spirits / washington","147628"
"world liquor & tobacco + vapors","147394"
"cork and bottle / oskaloosa","146710"
"tobacco outlet & liquor","146441"
"west side liquor","146040"
"north side liquor & tobacco / dubuque","145175"
"smokin' joe's #15 tobacco and liquor outlet","143650"
"select mart / sioux city","143259"
"the boonedocks","143031"
"quick mart / hiawatha","141691"
"wal-mart 0913 / decorah","140120"
"als liquor","139958"
"hy-vee wine and spirits / estherville","138415"
"wal-mart 2827 / coralville","138266"
"fareway stores #983 / grimes","137621"
"fareway stores #153  /  w des moines","137597"
"wal-mart 0749 / ames","137512"
"kwik stop 4","137269"
"hy-vee food store / fort dodge","137262"
